level,gid,name,engtype,iso,country,year,threshold,gcp_model,pop_persons,gdp_scale,pop_scale,gdp_pwt,pop_pwt,gdppc,ln_gdppc,n_cells,n_cells_nearest,pwt_rgdpo,pwt_pop,gdppc_pwt,ln_gdppc_pwt,gdp_resid,gdppc_resid
adm0,BOL,Bolivia,Country,BOL,Bolivia,2012,0_05,85.26432465000009,10349351,873.4364466698432,1.0160837138483367e-06,74472.96875,10.515806999999997,7082.002241958227,8.86531194924314,1603,0,74472.97,10.515806999999999,7082.0022419582265,8.865311949243138,0.0,9.094947017729282e-13
adm0,BOL,Bolivia,Country,BOL,Bolivia,2013,0_05,91.05889223999972,10509785,908.187147797003,1.0164440090829641e-06,82698.515625,10.682608,7741.4162931935725,8.954339933461053,1603,0,82698.516,10.682608,7741.4162931935725,8.954339933461053,0.0,0.0
adm0,BOL,Bolivia,Country,BOL,Bolivia,2014,0_05,96.03122704999987,10669049,904.0530959767646,1.0168561415361386e-06,86817.328125,10.848887999999999,8002.417217783059,8.987498927246065,1603,0,86817.33,10.848887999999999,8002.417217783059,8.987498927246065,0.0,0.0
adm0,BOL,Bolivia,Country,BOL,Bolivia,2015,0_05,100.69563968999995,10829106,880.8640786042763,1.0171389032483382e-06,88699.171875,11.014704999999998,8052.795955497675,8.993774633774015,1603,0,88699.17,11.014705,8052.795955497674,8.993774633774015,0.0,9.094947017729282e-13
adm0,BOL,Bolivia,Country,BOL,Bolivia,2016,0_05,104.98922840000016,10989155,892.9528401744103,1.0173684873859727e-06,93750.4296875,11.180019999999999,8385.533271631,9.034263270521368,1603,0,93750.43,11.180019999999999,8385.533271631,9.034263270521368,0.0,0.0
adm0,BOL,Bolivia,Country,BOL,Bolivia,2017,0_05,109.39373057968275,11149149,927.7396236484974,1.0175294096437315e-06,101488.8984375,11.344587,8946.019668895835,9.098963982614995,1603,0,101488.9,11.344586999999999,8946.019668895837,9.098963982614995,0.0,-1.8189894035458565e-12
adm0,BOL,Bolivia,Country,BOL,Bolivia,2018,0_05,114.01410692017028,11309183,937.2822479969341,1.0176126781218413e-06,106863.3984375,11.508367999999999,9285.712660344196,9.13623222478259,1603,0,106863.4,11.508367999999999,9285.712660344196,9.13623222478259,0.0,0.0
adm0,BOL,Bolivia,Country,BOL,Bolivia,2019,0_05,116.54143842508351,11469171,959.2319688877213,1.0176311783999035e-06,111790.2734375,11.671386,9578.148939423305,9.167239630940694,1603,0,111790.27,11.671386,9578.148939423305,9.167239630940694,0.0,0.0
adm0,BOL,Bolivia,Country,BOL,Bolivia,2020,0_05,106.35822243000011,11629176,959.2201052405262,1.0160908219120596e-06,102020.9453125,11.816298999999997,8633.917042256635,9.06345356780619,1603,0,102020.945,11.816298999999999,8633.917042256633,9.06345356780619,0.0,1.8189894035458565e-12
adm0,BOL,Bolivia,Country,BOL,Bolivia,2021,0_05,112.85813953892465,11799080,981.3925097914595,1.0117195577960315e-06,110758.1328125,11.93736,9278.277007018301,9.135431141194765,1603,0,110758.13,11.93736,9278.277007018301,9.135431141194765,0.0,0.0
adm0,BOL,Bolivia,Country,BOL,Bolivia,2022,0_05,116.92745182209511,11959192,977.0086582089775,1.0098637098559836e-06,114239.1328125,12.077154,9459.110384160043,9.154733617894529,1603,0,114239.13,12.077154,9459.110384160043,9.154733617894529,0.0,0.0
